,screen_name,tweet_url,timestamp,text
14,Agisa108,https://twitter.com/Agisa108/status/293501542680653824,21/1/2013 23:33,@ccha47 꼭 한달 전 <비즈니스 위크>에 실린 기사입니다. 중국과 시베리아를 달리는 철로는 이미 중국과 외국 투자자들이 활용하고 있죠. 이 지도를 보고 답답한 마음이 들었죠. The New Silk Road  
15,burikhanov,https://twitter.com/burikhanov/status/314061024317808640,19/3/2013 17:09,New Silk Road …
16,ChinaToursBlog,https://twitter.com/ChinaToursBlog/status/354869431513530368,10/7/2013 7:47,"Entlang der #Seidenstraße mit der #NewSilkRoad #Rallye, lest hier was die Truppe im Juni in Mittelasien erlebte  "
17,voyage1074,https://twitter.com/voyage1074/status/354669004478087169,9/7/2013 18:30,Radyo Voyage’da bu gece New Age müziğinin ustası Kitaro sizleri Silk Road ile İpek Yolu'na yolculuğa davet ediyor...  …
18,Nititham2012,https://twitter.com/Nititham2012/status/353880160300318723,7/7/2013 14:16,"ไทย-ตุรกีตั้งคณะทำงานร่วมเพิ่มมูลค่าการค้า 1,500 ล้านเหรียญสหรัฐฯหนุน New silk road เชื่อมเอเชีย-ยุโรป  View Content  …"
19,Fs_Of_Yingluck,https://twitter.com/Fs_Of_Yingluck/status/353673713683673088,7/7/2013 0:35,ไทยจะลงทุนโครงสร้างพื้นฐานสร้างรถไฟความเร็วสูงเพื่อเชื่อมโยงลาว จีน รวมถึงเชื่อมโยงกับโครงการ New Silk Road...  
20,attorney_keng,https://twitter.com/attorney_keng/status/353669481660293123,7/7/2013 0:19,ไทยจะลงทุนโครงสร้างพื้นฐานสร้างรถไฟความเร็วสูงเพื่อเชื่อมโยงลาว จีน รวมถึงเชื่อมโยงกับโครงการ New Silk Road ของตุรกีเพื่อเชื่อมเอเชีย-ยุโรป
21,009butterfly,https://twitter.com/009butterfly/status/353489122935058432,6/7/2013 12:22,ไทย - ตุรกี สนใจร่วมพัฒนาเส้นทางรถไฟเชื่อมโยงกับโครงการ New Silk Road ของตุรกีเพื่อเชื่อมทวีปเอเชีย-ยุโรป  
22,Fs_Of_Yingluck,https://twitter.com/Fs_Of_Yingluck/status/353488533073297408,6/7/2013 12:20,ไทย - ตุรกี สนใจร่วมพัฒนาเส้นทางรถไฟเชื่อมโยงกับโครงการ New Silk Road ของตุรกีเพื่อเชื่อมทวีปเอเชีย-ยุโรป  
23,seansasha,https://twitter.com/seansasha/status/353378453858426880,6/7/2013 5:02,ウズベキスタン：シルクロード物流上の鬼門 Uzbekistan Setting Up Checkpoints On New Silk Road |    
24,suwitlive,https://twitter.com/suwitlive/status/353306598652919809,6/7/2013 0:17,นายกฯ เยี่ยมชมโครงการอุโมงค์ Marmaray สถานี Yenikapi ซึ่งเป็นส่วนหนึ่งของเส้นทางรถไฟ New Silk Road...  
25,Jaimesaezfer,https://twitter.com/Jaimesaezfer/status/368281582660222976,16/8/2013 8:02,"""@ArtFansclub: Dunhuang:Buddhist Art at the Gateway of the Silk Road New York Times  "" Exposición de arte budista en NY"
26,Ecribouille,https://twitter.com/Ecribouille/status/367593040631705600,14/8/2013 10:26,Belle idée de page chapeau / Riding the New Silk Road par le NY Times  … #contenu #Web
27,zariaurore,https://twitter.com/zariaurore/status/367276531493502976,13/8/2013 13:28,Je ne m'en lasse pas... Riding the New Silk Road - Interactive Feature from @nytgraphics  …
28,realmue,https://twitter.com/realmue/status/364702055048294401,6/8/2013 10:58,«Riding the New Silk Road»  …
29,10029abh,https://twitter.com/10029abh/status/372920722361823232,29/8/2013 3:16,KITARO / Silk Road (1980) - New Age/ Entspannungsmusik/ Meditation: Karlsfeld | Doppel-CD KITARO / Silk-Road -...  
30,aydn_faik,https://twitter.com/aydn_faik/status/372814668353376256,28/8/2013 20:15,~**Kitaro - Theme From Silk Road~**(New Age Instrumental)(HD Video):   @youtube aracılığıyla
31,kokkok2009,https://twitter.com/kokkok2009/status/290127394629623808,12/1/2013 16:05,【ジェームスタウン財団】アメリカの新シルクロードプランと中国の新ユーラシア陸橋計画の違いを考察、「全ての道はウルムチに通ず」で中国のリードを説明する論考。China’s Latest Piece of the New Silk Road  …
32,ChinaToursBlog,https://twitter.com/ChinaToursBlog/status/351598410756931585,1/7/2013 7:09,Neues von der diesjährigen Tour der #NewSilkRoad #Rallye findet ihr hier:  
33,Teacher_animate,https://twitter.com/Teacher_animate/status/350842601349455872,29/6/2013 5:06,~**Kitaro - Theme From Silk Road~**(New Age Instrumental)(HD Video):   vía @youtube
34,adhimbean,https://twitter.com/adhimbean/status/350283796035276800,27/6/2013 16:05,"Pct 500 RT @JayaOgawa: Jkt 69 ""@amoristi: New songnya Jkt 49 itu ya?RT @JayaOgawa: #np Kitaro - Silk road #malam #dingin :3"
